sex,typesite,chheight,mtheight,epreas1,foodexp,y
Male,Rural,99.95,142.95,Important,978,1
Female,Rural,102.8,143,Moderately important,588,1
Male,Rural,99.1,143,Important,1618,1
Male,Rural,98.6,143,Important,530,1
Male,Rural,100.2,143,Very important,1204,1
Female,Urban,108.4,143,Very important,4002,0
Female,Urban,109.2,143,Moderately important,2520,0
Male,Rural,100,143.05,Not important at all,1618,0
Female,Urban,114.8,143.1,Moderately important,2078,0
Female,Urban,108.05,143.1,Important,840,0
Female,Rural,99.5,143.2,Moderately important,1202,1
Male,Rural,108.55,143.2,Important,1912,0
Male,Urban,109,143.2,Not very important,768,0
Male,Urban,103.8,143.3,Important,758,1
Female,Rural,98.15,143.35,Important,1262,1
Female,Rural,99.8,143.35,Important,1256,1
Female,Urban,111.4,143.35,Moderately important,3200,0
Female,Rural,94.7,143.4,Important,692,1
Male,Rural,106.8,143.4,Important,540,0
Male,Urban,109.75,143.4,Moderately important,778,0
Male,Rural,103.2,143.45,Important,726,0
Male,Rural,101.8,143.5,Very important,2118,0
Male,Rural,102.2,143.5,Important,628,0
Male,Rural,92,143.5,Not very important,510,1
Male,Rural,99,143.5,Important,674,1
Male,Rural,102.6,143.5,Important,1030,0
Male,Rural,96,143.5,Very important,684,1
Female,Rural,106.3,143.55,Moderately important,1154,0
Male,Rural,106.95,143.6,Very important,690,0
Female,Urban,103.55,143.6,Moderately important,722,0
Female,Rural,101.4,143.7,Important,736,1
Male,Rural,97.7,143.7,Important,806,1
Male,Urban,114.8,143.7,Not very important,1078,0
Female,Rural,97.7,143.9,Important,1318,1
Male,Rural,102.05,143.95,Important,1598,0
Female,Rural,101.4,144,Moderately important,1480,0
Female,Rural,94.8,144,Not very important,1994,1
Female,Rural,100.5,144,Moderately important,1370,1
Male,Rural,94.35,144,Moderately important,628,1
Female,Rural,106.3,144,Very important,890,0
Male,Rural,99.2,144.05,Important,504,1
Male,Rural,102.55,144.05,Important,764,1
Female,Rural,104.55,144.05,Important,1226,0
Male,Rural,106.2,144.05,Important,1082,0
Female,Rural,109.6,144.1,Important,830,0
Female,Rural,99.8,144.1,Important,1201,1
Female,Rural,99.1,144.1,Not very important,1126,1
Male,Rural,107.8,144.1,Moderately important,1018,0
Female,Rural,113.1,144.15,Moderately important,1204,0
Female,Rural,103.25,144.2,Very important,1150,0
Male,Rural,113.85,144.25,Moderately important,1438,0
Female,Rural,98.05,144.25,Moderately important,612,1
Male,Urban,113.2,144.25,Moderately important,2634,0
Female,Rural,94,144.3,Moderately important,2056,1
Female,Rural,100.65,144.3,Important,1246,0
Male,Rural,100.05,144.4,Not very important,1148,0
Female,Rural,102.1,144.4,Important,1170,0
Female,Rural,94.8,144.5,Important,260,1
Female,Rural,100.45,144.5,Important,790,0
Female,Rural,95.5,144.5,Moderately important,624,1
Male,Rural,97.6,144.5,Important,1260,1
Male,Rural,105.9,144.5,Moderately important,788,0
Female,Rural,105.2,144.5,Very important,1880,0
Male,Urban,106.5,144.5,Important,974,0
Male,Urban,105.4,144.5,Moderately important,1161,0
Male,Urban,101,144.5,Important,1658,1
Female,Rural,99.1,144.55,Moderately important,464,1
Female,Rural,103.75,144.55,Not important at all,676,0
Male,Rural,105.4,144.55,Important,272,0
Female,Rural,106.05,144.6,Important,876,0
Female,Rural,96.5,144.6,Moderately important,648,1
Female,Rural,101.2,144.6,Important,918,0
Male,Urban,107.2,144.6,Important,2386,0
Male,Rural,109.1,144.65,Important,1080,0
Male,Rural,97.95,144.65,Very important,642,1
Female,Rural,104.6,144.7,Important,1096,0
Male,Urban,112,144.75,Important,1170,0
Male,Urban,107.3,144.8,Important,802,0
Male,Urban,97.7,144.8,Important,794,1
Female,Urban,105.8,144.8,Important,986,0
Male,Urban,101.55,144.8,Important,580,1
Female,Rural,108.15,144.85,Moderately important,1086,0
Female,Rural,100,144.9,Moderately important,858,1
Male,Rural,106.55,144.9,Very important,1072,0
Male,Rural,100.8,144.9,Important,756,1
Male,Rural,104.4,144.95,Important,544,0
Male,Rural,96.05,144.95,Important,880,1
Male,Rural,96.5,145,Important,960,1
Male,Rural,99.05,145,Important,830,1
Male,Rural,98.85,145,Important,930,1
Male,Rural,104.8,145,Important,1678,1
Male,Rural,105.2,145.05,Important,722,0
Female,Rural,99.35,145.05,Not very important,2168,0
Female,Rural,93.3,145.05,Very important,504,1
Female,Urban,111.15,145.05,Moderately important,2006,0
Male,Urban,105.55,145.05,Not important at all,2424,0
Female,Rural,98.5,145.1,Important,678,1
Male,Rural,105.55,145.1,Not very important,732,0
Male,Rural,104.6,145.1,Moderately important,736,1
Male,Urban,101.8,145.1,Important,634,0
Female,Rural,97.7,145.15,Moderately important,654,1
Male,Rural,105,145.15,Very important,1094,0
Male,Rural,94.65,145.15,Important,730,1
Female,Rural,100.1,145.15,Very important,670,0
Male,Rural,94.3,145.2,Important,404,1
Female,Rural,97.3,145.2,Important,1478,1
Male,Rural,103.1,145.2,Important,590,0
Female,Rural,93,145.2,Not very important,874,1
Male,Rural,95.6,145.2,Very important,890,1
Female,Rural,100.9,145.2,Important,464,0
Male,Rural,102.75,145.25,Moderately important,618,0
Male,Rural,122.2,145.25,Important,1638,0
Male,Rural,110.4,145.3,Moderately important,2330,0
Female,Rural,98.5,145.3,Important,610,0
Female,Urban,105.5,145.3,Important,1092,0
Male,Urban,104.6,145.3,Very important,1510,0
Male,Rural,107.05,145.35,Important,348,0
Male,Urban,104.1,145.35,Important,277,0
Male,Rural,97.9,145.4,Important,3162,1
Female,Rural,97.4,145.4,Moderately important,480,1
Male,Rural,95.2,145.4,Not very important,1220,1
Male,Rural,103.25,145.4,Very important,1688,1
Female,Rural,107,145.4,Important,1032,0
Female,Urban,98.2,145.4,Not very important,1468,1
Female,Urban,104.05,145.4,Important,998,0
Female,Rural,96.5,145.45,Important,890,1
Male,Rural,101.6,145.5,Not important at all,986,1
Male,Rural,88.3,145.5,Important,1224,1
Female,Rural,90,145.5,Moderately important,458,1
Male,Rural,108.5,145.5,Very important,1352,0
Male,Rural,103.35,145.5,Very important,850,0
Male,Rural,104.15,145.5,Important,1034,0
Female,Rural,99.8,145.5,Very important,754,0
Female,Rural,101.05,145.5,Important,714,1
Male,Urban,105.45,145.5,Important,2838,0
Female,Urban,101.85,145.5,Important,656,0
Female,Rural,102.3,145.55,Moderately important,466,0
Male,Rural,101.5,145.55,Important,2178,1
Male,Rural,101,145.55,Moderately important,2740,1
Male,Urban,116.55,145.55,Very important,1148,0
Male,Rural,97.8,145.6,Important,700,1
Male,Rural,105.55,145.6,Important,1434,0
Female,Rural,115.9,145.6,Important,780,0
Female,Rural,99.5,145.65,Important,1176,1
Female,Urban,102.4,145.65,Important,1390,0
Male,Rural,98.9,145.7,Important,736,1
Male,Rural,94.55,145.7,Important,514,1
Female,Rural,110,145.7,Moderately important,984,0
Female,Rural,94.1,145.7,Important,992,1
Female,Rural,98.6,145.85,Moderately important,1366,1
Male,Rural,98.2,145.85,Moderately important,1230,1
Female,Rural,103,145.9,Important,994,0
Male,Urban,101.4,145.9,Important,890,0
Female,Rural,108.55,145.95,Important,960,0
Male,Rural,99.1,146,Important,640,1
Male,Rural,99,146,Moderately important,436,1
Female,Rural,98,146,Very important,1720,1
Female,Rural,101.15,146,Important,350,0
Female,Urban,101.45,146,Not important at all,2670,1
Female,Urban,108.2,146,Not very important,714,0
Male,Rural,97.8,146.05,Moderately important,870,1
Female,Rural,99.65,146.05,Very important,604,1
Male,Rural,102.2,146.1,Important,2246,1
Male,Rural,99.05,146.1,Important,409,1
Male,Rural,102.3,146.15,Important,1190,0
Male,Rural,108.4,146.2,Important,1290,0
Female,Rural,102.4,146.2,Moderately important,1264,0
Male,Rural,120.5,146.2,Important,758,0
Female,Rural,106.6,146.2,Not important at all,816,0
Male,Rural,103.2,146.2,Important,638,0
Male,Rural,106.5,146.25,Important,694,0
Female,Rural,96.7,146.3,Not very important,493,1
Female,Rural,103.7,146.3,Important,808,0
Male,Rural,90.2,146.3,Moderately important,364,1
Male,Rural,102.8,146.3,Important,794,0
Female,Rural,105.05,146.45,Important,784,0
Male,Rural,100.55,146.45,Important,454,1
Female,Rural,102.05,146.5,Important,534,0
Male,Rural,108.95,146.5,Moderately important,401,0
Male,Rural,101.9,146.5,Important,336,1
Male,Rural,101.1,146.5,Important,630,1
Female,Rural,109.55,146.5,Important,818,0
Female,Rural,99.4,146.5,Important,2340,1
Female,Rural,98.7,146.5,Important,512,1
Female,Rural,103.3,146.5,Moderately important,1326,0
Male,Rural,104,146.5,Very important,988,1
Male,Rural,106.65,146.5,Important,706,0
Female,Urban,104.2,146.5,Important,1014,0
Female,Rural,105.35,146.6,Moderately important,922,0
Male,Rural,98.4,146.6,Important,1050,0
Male,Rural,108,146.6,Important,666,0
Female,Urban,104.3,146.6,Important,550,0
Male,Rural,105.5,146.7,Moderately important,718,0
Male,Rural,90.2,146.7,Important,984,1
Male,Rural,99.55,146.75,Important,978,1
Female,Rural,91.6,146.75,Important,682,1
Male,Rural,112.55,146.75,Important,680,0
Male,Urban,108,146.75,Important,1300,0
Female,Rural,106.9,146.8,Not very important,988,0
Female,Urban,103,146.8,Not very important,500,0
Female,Rural,102.4,146.8,Moderately important,562,0
Male,Urban,101.95,146.8,Not important at all,996,1
Male,Urban,110,146.8,Important,1210,0
Male,Rural,103.7,146.85,Important,616,0
Female,Urban,101.3,146.9,Important,1134,0
Male,Rural,94.1,146.9,Not very important,420,1
Male,Rural,94.5,146.9,Very important,728,1
Male,Urban,103.4,146.9,Important,916,0
Female,Rural,99.8,146.95,Important,1224,1
Male,Rural,102.2,147,Important,260,1
Female,Rural,100.2,147,Not very important,1090,1
Male,Rural,114.4,147,Not very important,306,0
Female,Rural,107.1,147,Important,594,0
Male,Rural,112.8,147,Important,744,0
Male,Rural,104.6,147,Moderately important,830,0
Female,Rural,97.5,147,Important,426,1
Female,Rural,89.5,147,Not important at all,618,1
Male,Rural,98,147,Important,494,1
Male,Rural,99.1,147,Important,942,1
Female,Rural,96.25,147,Very important,534,1
Female,Rural,102.25,147,Important,662,0
Female,Rural,101.5,147,Very important,696,0
Female,Rural,107.45,147,Important,1056,0
Female,Rural,97.95,147.05,Important,544,0
Male,Rural,112.15,147.05,Very important,742,0
Female,Rural,104,147.1,Important,1204,0
Female,Rural,105.2,147.1,Important,586,0
Male,Rural,106.25,147.1,Not very important,1354,0
Male,Rural,97.55,147.1,Moderately important,1304,1
Male,Rural,97.1,147.1,Moderately important,872,1
Male,Rural,107.05,147.1,Very important,560,0
Female,Rural,95.75,147.1,Important,1020,1
Male,Rural,107,147.1,Important,960,0
Female,Urban,103.5,147.1,Very important,874,0
Male,Rural,107.1,147.15,Important,962,0
Male,Rural,103.5,147.15,Moderately important,474,0
Male,Rural,105.5,147.15,Important,578,0
Male,Urban,110.2,147.15,Important,2482,0
Male,Rural,107.7,147.2,Important,768,0
Male,Rural,102.5,147.2,Important,800,0
Female,Rural,107.1,147.2,Not very important,1704,0
Female,Rural,111.5,147.2,Moderately important,1184,0
Male,Urban,105.6,147.2,Moderately important,1678,0
Female,Urban,111.15,147.2,Important,1040,0
Female,Rural,103.7,147.25,Important,472,0
Male,Urban,104.75,147.25,Important,912,0
Male,Rural,104.5,147.3,Important,556,0
Male,Rural,90.4,147.3,Important,638,1
Female,Rural,101,147.3,Important,622,0
Male,Rural,104.2,147.3,Moderately important,668,0
Female,Rural,94.4,147.3,Not very important,1128,1
Female,Rural,98.2,147.3,Moderately important,630,1
Female,Rural,99.5,147.3,Important,750,1
Male,Rural,92.15,147.3,Important,1082,1
Female,Rural,101.5,147.3,Important,920,0
Female,Rural,106,147.3,Important,1214,0
Male,Rural,98.15,147.35,Important,554,1
Female,Rural,98.1,147.35,Very important,990,1
Female,Rural,101.85,147.4,Moderately important,1282,1
Female,Rural,100.9,147.4,Very important,1042,1
Female,Rural,101.7,147.4,Important,962,0
Male,Rural,100.95,147.4,Very important,1146,0
Female,Rural,104.85,147.45,Important,406,0
Female,Rural,105.95,147.45,Very important,1040,0
Male,Rural,109.55,147.45,Important,554,0
Male,Rural,101.6,147.5,Important,1618,0
Female,Rural,93.1,147.5,Moderately important,640,1
Male,Rural,96.7,147.5,Moderately important,810,1
Male,Rural,106.7,147.5,Moderately important,880,0
Male,Rural,97.25,147.5,Important,640,1
Female,Rural,97.2,147.5,Important,1094,1
Female,Rural,102.1,147.5,Very important,1262,1
Male,Rural,99.5,147.5,Important,1190,1
Male,Urban,99.8,147.5,Important,1018,1
Male,Urban,103.55,147.5,Important,862,0
Female,Rural,109.15,147.55,Important,948,0
Male,Rural,101.7,147.55,Moderately important,658,1
Female,Rural,103.9,147.55,Important,1082,0
Male,Rural,111.25,147.55,Important,1242,0
Male,Rural,107.5,147.6,Important,564,0
Female,Rural,102.05,147.6,Important,934,0
Male,Rural,103.05,147.6,Important,2256,0
Male,Rural,103.6,147.6,Important,836,0
Female,Rural,106.05,147.6,Important,1506,0
Male,Rural,98.1,147.65,Very important,822,1
Male,Rural,100.85,147.65,Important,590,1
Female,Rural,106.15,147.65,Important,1340,0
Male,Rural,109.5,147.65,Important,522,0
Female,Urban,94.5,147.65,Not very important,2026,1
Male,Rural,115,147.7,Important,682,0
Female,Rural,103.1,147.7,Important,908,0
Male,Rural,113.5,147.7,Important,664,0
Male,Rural,108,147.7,Important,722,0
Male,Rural,101,147.7,Moderately important,1182,1
Female,Rural,102.65,147.7,Important,796,0
Male,Rural,104.35,147.7,Important,1350,0
Male,Urban,107.35,147.7,Important,5504,0
Male,Rural,104.45,147.75,Important,630,0
Female,Rural,96.5,147.75,Important,934,1
Female,Rural,96.25,147.75,Important,524,1
Male,Rural,99.5,147.75,Important,776,1
Male,Urban,110.2,147.75,Important,2094,0
Female,Rural,99.4,147.8,Moderately important,1820,1
Female,Rural,100.5,147.8,Important,464,1
Male,Rural,98,147.8,Important,552,1
Female,Rural,103.75,147.8,Important,952,0
Male,Rural,97.5,147.8,Moderately important,480,1
Female,Rural,90.05,147.8,Very important,418,1
Male,Rural,112,147.8,Important,1740,0
Male,Rural,102.8,147.8,Important,588,1
Male,Rural,103.8,147.8,Important,1288,0
Male,Urban,109.6,147.8,Important,2458,0
Male,Urban,102.3,147.8,Important,546,0
Female,Rural,107.6,147.85,Important,1232,0
Male,Rural,108.45,147.85,Important,898,0
Female,Rural,105.35,147.85,Important,334,0
Female,Rural,109.6,147.9,Important,1904,0
Male,Rural,95.05,147.9,Important,732,1
Female,Rural,109.2,147.9,Important,796,0
Male,Rural,107.05,147.9,Important,1628,0
Male,Rural,102.1,147.9,Important,1450,0
Female,Rural,103.15,147.9,Important,1194,0
Male,Urban,103.5,147.9,Not important at all,2930,0
Female,Urban,110.5,147.9,Moderately important,996,0
Female,Rural,99.05,147.95,Important,1136,1
Male,Rural,106.65,147.95,Important,632,0
Female,Urban,111.7,147.95,Important,1816,0
Male,Rural,108.6,148,Important,1244,0
Female,Rural,107.6,148,Moderately important,1708,0
Female,Rural,109,148,Important,632,0
Female,Rural,102.25,148,Important,1118,0
Male,Rural,96.6,148,Moderately important,808,1
Male,Rural,105.5,148,Important,462,0
Female,Rural,96.75,148,Important,1696,1
Male,Rural,105.3,148,Important,732,0
Female,Urban,104.05,148,Not important at all,1634,0
Female,Urban,100.9,148,Not very important,2067,0
Female,Urban,106.1,148,Moderately important,2094,0
Male,Urban,107,148,Important,1138,0
Female,Urban,98.5,148,Important,954,1
Male,Urban,102.4,148,Important,752,1
Male,Rural,97.3,148.05,Moderately important,844,1
Male,Rural,99.75,148.05,Not very important,1182,1
Male,Rural,101.85,148.05,Important,1544,1
Female,Urban,105.25,148.05,Not important at all,4050,0
Male,Rural,100.6,148.1,Moderately important,648,0
Male,Rural,102.3,148.1,Important,920,0
Male,Rural,112.6,148.1,Moderately important,2004,0
Female,Rural,104,148.1,Important,920,0
Female,Rural,103,148.1,Very important,500,0
Female,Urban,103.6,148.1,Not important at all,1296,0
Male,Urban,98.2,148.1,Very important,936,1
Male,Rural,101.95,148.15,Important,656,0
Male,Rural,104.4,148.15,Important,818,0
Male,Rural,111.2,148.15,Very important,462,0
Male,Rural,104.5,148.2,Important,2100,0
Male,Rural,99.7,148.2,Important,166,1
Female,Rural,96.55,148.2,Moderately important,1136,1
Female,Rural,100.7,148.2,Moderately important,814,0
Male,Rural,110.65,148.2,Important,646,0
Female,Rural,100.05,148.25,Important,896,0
Female,Rural,101.45,148.25,Important,990,0
Male,Rural,106.8,148.25,Very important,656,0
Male,Urban,109.65,148.25,Moderately important,692,0
Male,Rural,96.5,148.3,Not important at all,1350,1
Female,Rural,108,148.3,Important,662,0
Female,Rural,100.2,148.3,Moderately important,1240,1
Female,Rural,99.2,148.3,Important,1718,1
Female,Rural,102.9,148.3,Important,546,0
Female,Rural,109.5,148.35,Moderately important,1168,0
Male,Rural,103.25,148.35,Very important,788,0
Male,Rural,98.2,148.4,Moderately important,492,1
Female,Rural,103.9,148.4,Important,902,0
Male,Rural,94.5,148.4,Important,2392,1
Female,Urban,105.6,148.4,Important,1240,0
Male,Rural,97.25,148.45,Important,1450,1
Female,Rural,107.7,148.45,Important,1324,0
Male,Rural,98.6,148.45,Important,368,1
Female,Rural,102.1,148.5,Moderately important,940,0
Male,Rural,118.3,148.5,Important,1574,0
Female,Rural,104.2,148.5,Important,1016,0
Female,Rural,94,148.5,Important,780,1
Male,Rural,97,148.5,Not very important,380,1
Female,Rural,99.3,148.5,Moderately important,584,1
Male,Rural,103.5,148.5,Not very important,654,1
Male,Rural,96.7,148.5,Moderately important,370,1
Female,Rural,105.45,148.5,Important,974,0
Female,Rural,101.55,148.5,Important,1072,1
Female,Rural,99.6,148.5,Not important at all,506,1
Male,Rural,101,148.5,Very important,940,0
Female,Urban,108,148.5,Not important at all,1894,0
Female,Urban,100,148.5,Moderately important,1978,0
Female,Urban,98.8,148.5,Important,1036,1
Female,Urban,106.1,148.5,Important,1128,0
Female,Rural,100.9,148.55,Important,660,0
Male,Rural,105,148.55,Very important,960,0
Female,Urban,105.45,148.55,Important,2206,0
Male,Rural,100.45,148.6,Important,798,1
Male,Rural,111.9,148.6,Important,1292,0
Female,Rural,100.35,148.6,Moderately important,870,1
Female,Rural,105.9,148.6,Important,846,0
Female,Rural,103.2,148.6,Not important at all,1410,0
Female,Rural,95.25,148.6,Important,1492,1
Female,Rural,100.5,148.6,Important,822,1
Male,Rural,100.05,148.6,Very important,856,0
Male,Rural,105.05,148.6,Important,430,0
Male,Rural,102.65,148.6,Very important,930,1
Female,Rural,107.15,148.65,Very important,738,0
Male,Rural,102.6,148.65,Important,398,0
Male,Rural,110.05,148.65,Important,464,0
Female,Rural,106.75,148.7,Important,608,0
Female,Rural,106.4,148.7,Important,1070,0
Female,Rural,101.2,148.7,Important,660,0
Male,Rural,106.6,148.7,Important,934,0
Male,Urban,105,148.7,Important,910,0
Female,Urban,109.55,148.7,Important,1086,0
Male,Rural,106.3,148.75,Important,404,0
Female,Rural,103.1,148.75,Important,606,0
Male,Rural,101.35,148.75,Important,520,1
Male,Urban,110.45,148.75,Important,1230,0
Female,Urban,104.1,148.75,Important,1016,0
Female,Rural,105.7,148.8,Important,542,0
Male,Rural,100.4,148.8,Important,2284,0
Female,Rural,102.65,148.8,Important,1318,0
Male,Rural,100.1,148.8,Important,588,1
Female,Rural,105.85,148.85,Moderately important,820,0
Male,Rural,109.55,148.85,Important,1322,0
Female,Rural,101.3,148.9,Important,466,0
Male,Rural,108,148.9,Important,1840,0
Male,Rural,97.8,148.9,Important,836,1
Male,Rural,106.9,148.9,Moderately important,2798,0
Female,Rural,105.2,148.9,Important,622,0
Male,Rural,111.2,148.9,Not very important,872,0
Male,Rural,101.45,148.9,Moderately important,882,0
Female,Rural,107.55,148.9,Very important,914,0
Female,Rural,107.65,148.9,Very important,1502,0
Female,Urban,104.75,148.9,Very important,2730,0
Female,Urban,112.3,148.9,Important,2378,0
Male,Urban,105.6,148.9,Important,700,0
Female,Urban,110.7,148.9,Important,2682,0
Male,Urban,112.85,148.9,Not important at all,2170,0
Female,Rural,105.35,148.95,Important,870,0
Female,Rural,105.1,148.95,Important,524,0
Male,Rural,98.05,148.95,Important,970,1
Male,Rural,107.5,148.95,Important,874,0
Female,Rural,102.7,149,Important,480,0
Male,Rural,110.1,149,Not very important,622,0
Female,Rural,97.4,149,Important,1234,1
Male,Rural,103.55,149,Moderately important,764,0
Female,Rural,98.2,149,Important,892,1
Female,Rural,101.2,149,Very important,378,1
Female,Rural,97.3,149,Important,622,1
Male,Urban,105.1,149,Important,2016,0
Female,Rural,101.55,149.05,Moderately important,1626,0
Male,Rural,104.55,149.05,Important,21306,0
Female,Rural,102.2,149.05,Important,410,0
Female,Rural,100.6,149.05,Moderately important,1160,1
Female,Rural,102.9,149.1,Important,1098,0
Female,Rural,103.35,149.1,Important,642,0
Male,Rural,107.6,149.1,Moderately important,1082,0
Female,Rural,97.4,149.1,Moderately important,768,1
Male,Rural,100.15,149.1,Important,850,1
Female,Rural,104.2,149.1,Not very important,1150,0
Female,Rural,111.2,149.1,Very important,626,0
Female,Rural,95.7,149.15,Important,722,1
Female,Rural,100.35,149.15,Important,840,0
Female,Rural,107.4,149.2,Moderately important,558,0
Male,Rural,101.6,149.2,Moderately important,1146,1
Male,Rural,101.55,149.2,Moderately important,220,1
Female,Rural,101,149.2,Moderately important,1470,1
Female,Rural,103,149.2,Important,792,0
Male,Rural,96.95,149.2,Important,584,1
Female,Rural,100.05,149.2,Important,578,1
Male,Rural,111.55,149.2,Very important,1356,0
Female,Urban,115.6,149.2,Important,810,0
Male,Rural,104.75,149.25,Moderately important,412,0
Female,Urban,109.25,149.25,Not very important,1580,0
Female,Rural,106.1,149.3,Important,1012,0
Male,Rural,97.4,149.3,Moderately important,918,1
Male,Rural,102.55,149.3,Moderately important,1098,0
Female,Rural,103.3,149.3,Moderately important,1600,0
Male,Rural,99.7,149.3,Important,920,0
Male,Rural,102.55,149.3,Important,772,0
Male,Urban,105,149.3,Moderately important,843,0
Female,Urban,101.2,149.3,Important,860,0
Male,Urban,101.8,149.3,Moderately important,1090,0
Female,Rural,99.5,149.35,Important,626,1
Male,Rural,102,149.35,Very important,1042,1
Female,Rural,102.25,149.35,Important,458,0
Male,Urban,106.75,149.35,Very important,1234,0
Male,Rural,109.4,149.4,Moderately important,598,0
Male,Rural,104.25,149.4,Moderately important,1019,0
Male,Rural,106.55,149.4,Important,830,0
Male,Rural,104.6,149.4,Important,1896,0
Female,Rural,107.3,149.4,Moderately important,360,0
Female,Rural,108.2,149.4,Moderately important,388,0
Female,Rural,105,149.4,Important,896,0
Male,Rural,101.4,149.4,Important,632,1
Male,Rural,103,149.4,Very important,1156,0
Female,Urban,111.7,149.4,Moderately important,1448,0
Female,Urban,110.7,149.4,Important,1180,0
Male,Urban,103.1,149.4,Important,1672,1
Female,Rural,101.3,149.45,Important,1232,0
Female,Rural,102.1,149.45,Important,886,1
Female,Rural,98.45,149.45,Important,1102,1
Female,Rural,98.75,149.45,Important,470,1
Female,Urban,109,149.45,Moderately important,942,0
Male,Urban,113.65,149.45,Important,2005,0
Female,Rural,104.8,149.5,Important,1588,0
Male,Rural,101.3,149.5,Not very important,690,1
Female,Rural,99.1,149.5,Important,1176,1
Male,Rural,103.6,149.5,Moderately important,626,1
Female,Rural,97.5,149.5,Moderately important,1100,1
Female,Rural,100.1,149.5,Moderately important,480,1
Female,Rural,100.1,149.5,Not very important,686,0
Female,Rural,104.2,149.5,Important,612,0
Male,Rural,102.5,149.5,Important,1228,1
Female,Rural,97.9,149.5,Important,522,1
Female,Urban,102.3,149.5,Moderately important,1592,0
Female,Urban,107.5,149.5,Important,2478,0
Male,Rural,103.1,149.55,Important,1416,0
